persona_id,persona_name_en,persona_name_zh,journey,stage_id,scenario_id,scenario_zh,scenario_en,brand,asset_id,asset_web_path
EP3,Brand / Marketing Manager,品牌 / 市场经理,Employee,E4,E4-02,审核内容、产品声明、配方、包装、法规与品牌风险,"Review content, product claims, formulas, packaging, regulation and brand risk.",General Mills,EP3,images/employee_role_placeholders/EP3.png
EP4,Product Innovation / R&D Manager,产品创新 / 研发经理,Employee,E4,E4-02,审核内容、产品声明、配方、包装、法规与品牌风险,"Review content, product claims, formulas, packaging, regulation and brand risk.",General Mills,EP4,images/employee_role_placeholders/EP4.png
EP8,Manufacturing / Quality / Logistics Manager,制造 / 质量 / 物流经理,Employee,E4,E4-02,审核内容、产品声明、配方、包装、法规与品牌风险,"Review content, product claims, formulas, packaging, regulation and brand risk.",General Mills,EP8,images/employee_role_placeholders/EP8.png
EP10,Legal / Compliance / Finance / Internal Control,法务 / 合规 / 财务 / 内控团队,Employee,E4,E4-02,审核内容、产品声明、配方、包装、法规与品牌风险,"Review content, product claims, formulas, packaging, regulation and brand risk.",General Mills,EP10,images/employee_role_placeholders/EP10.png
EP3,Brand / Marketing Manager,品牌 / 市场经理,Employee,E5,E5-01,将决策拆解为 campaign、受众、内容、渠道和排期计划,"Translate decisions into campaign, audience, content, channel and schedule plans.",General Mills,EP3,images/employee_role_placeholders/EP3.png
EP5,E-commerce / CRM / Content Manager,电商 / CRM / 内容运营经理,Employee,E5,E5-01,将决策拆解为 campaign、受众、内容、渠道和排期计划,"Translate decisions into campaign, audience, content, channel and schedule plans.",General Mills,EP5,images/employee_role_placeholders/EP5.png
EP6,Sales / KA / Trade / Merchandising Manager,销售 / 大客户 / 渠道 / 店头执行经理,Employee,E5,E5-02,形成渠道策略、SKU 组合、促销、价格和客户行动计划,"Create channel strategy, SKU mix, promotion, pricing and customer action plans.",General Mills,EP6,images/employee_role_placeholders/EP6.png
EP10,Legal / Compliance / Finance / Internal Control,法务 / 合规 / 财务 / 内控团队,Employee,E5,E5-02,形成渠道策略、SKU 组合、促销、价格和客户行动计划,"Create channel strategy, SKU mix, promotion, pricing and customer action plans.",General Mills,EP10,images/employee_role_placeholders/EP10.png
EP7,Demand / Supply / Procurement Planner,需求 / 供应 / 采购计划人员,Employee,E5,E5-03,将预测转化为排产、采购、库存和补货动作,"Turn forecasts into production, procurement, inventory and replenishment actions.",General Mills,EP7,images/employee_role_placeholders/EP7.png
EP8,Manufacturing / Quality / Logistics Manager,制造 / 质量 / 物流经理,Employee,E5,E5-03,将预测转化为排产、采购、库存和补货动作,"Turn forecasts into production, procurement, inventory and replenishment actions.",General Mills,EP8,images/employee_role_placeholders/EP8.png
EP3,Brand / Marketing Manager,品牌 / 市场经理,Employee,E6,E6-01,规模化生成和本地化内容，同时确保品牌与合规一致性,Generate and localize content at scale while preserving brand and compliance.,General Mills,EP3,images/employee_role_placeholders/EP3.png
EP5,E-commerce / CRM / Content Manager,电商 / CRM / 内容运营经理,Employee,E6,E6-01,规模化生成和本地化内容，同时确保品牌与合规一致性,Generate and localize content at scale while preserving brand and compliance.,General Mills,EP5,images/employee_role_placeholders/EP5.png
EP10,Legal / Compliance / Finance / Internal Control,法务 / 合规 / 财务 / 内控团队,Employee,E6,E6-01,规模化生成和本地化内容，同时确保品牌与合规一致性,Generate and localize content at scale while preserving brand and compliance.,General Mills,EP10,images/employee_role_placeholders/EP10.png
EP6,Sales / KA / Trade / Merchandising Manager,销售 / 大客户 / 渠道 / 店头执行经理,Employee,E6,E6-02,识别店头货架、陈列、缺货、价格和促销问题并整改,"Detect and correct shelf, display, stock-out, price and promotion issues.",General Mills,EP6,images/employee_role_placeholders/EP6.png
EP8,Manufacturing / Quality / Logistics Manager,制造 / 质量 / 物流经理,Employee,E6,E6-02,识别店头货架、陈列、缺货、价格和促销问题并整改,"Detect and correct shelf, display, stock-out, price and promotion issues.",General Mills,EP8,images/employee_role_placeholders/EP8.png
EP9,Customer Service / Customer Operations,客服 / 客户运营团队,Employee,E6,E6-03,自动回答重复咨询、分类反馈并辅助客服处理,"Automate common answers, classify feedback and assist customer service.",General Mills,EP9,images/employee_role_placeholders/EP9.png
EP2,Consumer Insight Manager,消费者洞察经理,Employee,E7,E7-01,将项目、campaign、预测和运营经验沉淀为知识与 Agent,"Convert project, campaign, forecast and operating lessons into reusable knowledge and agents.",General Mills,EP2,images/employee_role_placeholders/EP2.png
EP3,Brand / Marketing Manager,品牌 / 市场经理,Employee,E7,E7-01,将项目、campaign、预测和运营经验沉淀为知识与 Agent,"Convert project, campaign, forecast and operating lessons into reusable knowledge and agents.",General Mills,EP3,images/employee_role_placeholders/EP3.png
EP4,Product Innovation / R&D Manager,产品创新 / 研发经理,Employee,E7,E7-01,将项目、campaign、预测和运营经验沉淀为知识与 Agent,"Convert project, campaign, forecast and operating lessons into reusable knowledge and agents.",General Mills,EP4,images/employee_role_placeholders/EP4.png
EP5,E-commerce / CRM / Content Manager,电商 / CRM / 内容运营经理,Employee,E7,E7-01,将项目、campaign、预测和运营经验沉淀为知识与 Agent,"Convert project, campaign, forecast and operating lessons into reusable knowledge and agents.",General Mills,EP5,images/employee_role_placeholders/EP5.png
EP6,Sales / KA / Trade / Merchandising Manager,销售 / 大客户 / 渠道 / 店头执行经理,Employee,E7,E7-01,将项目、campaign、预测和运营经验沉淀为知识与 Agent,"Convert project, campaign, forecast and operating lessons into reusable knowledge and agents.",General Mills,EP6,images/employee_role_placeholders/EP6.png
EP7,Demand / Supply / Procurement Planner,需求 / 供应 / 采购计划人员,Employee,E7,E7-01,将项目、campaign、预测和运营经验沉淀为知识与 Agent,"Convert project, campaign, forecast and operating lessons into reusable knowledge and agents.",General Mills,EP7,images/employee_role_placeholders/EP7.png
EP8,Manufacturing / Quality / Logistics Manager,制造 / 质量 / 物流经理,Employee,E7,E7-01,将项目、campaign、预测和运营经验沉淀为知识与 Agent,"Convert project, campaign, forecast and operating lessons into reusable knowledge and agents.",General Mills,EP8,images/employee_role_placeholders/EP8.png
EP11,AI / Data / IT Product Lead / PMO,AI / 数据 / IT 产品负责人 / PMO,Employee,E7,E7-01,将项目、campaign、预测和运营经验沉淀为知识与 Agent,"Convert project, campaign, forecast and operating lessons into reusable knowledge and agents.",General Mills,EP11,images/employee_role_placeholders/EP11.png
EP1,General Management / Business Sponsor,管理层 / 业务发起人,Employee,E7,E7-02,统一管理 AI 用例的价值、风险、成熟度、资源与规模化状态,"Govern AI use-case value, risk, maturity, resources and scaling status.",General Mills,EP1,images/employee_role_placeholders/EP1.png
EP10,Legal / Compliance / Finance / Internal Control,法务 / 合规 / 财务 / 内控团队,Employee,E7,E7-02,统一管理 AI 用例的价值、风险、成熟度、资源与规模化状态,"Govern AI use-case value, risk, maturity, resources and scaling status.",General Mills,EP10,images/employee_role_placeholders/EP10.png
EP11,AI / Data / IT Product Lead / PMO,AI / 数据 / IT 产品负责人 / PMO,Employee,E7,E7-02,统一管理 AI 用例的价值、风险、成熟度、资源与规模化状态,"Govern AI use-case value, risk, maturity, resources and scaling status.",General Mills,EP11,images/employee_role_placeholders/EP11.png
BP1,Consumer Insight / Market Intelligence,消费者洞察 / 市场情报,Business Operation,B1,B1-01,汇集社媒、电商、POS、天气、节日、竞品和消费者信号,"Ingest social, commerce, POS, weather, festival, competitor and consumer signals.",General Mills,BP1,images/business_owner_placeholders/BP1.png
BP2,Brand / Marketing / Finance Planning,品牌 / 市场 / 财务规划,Business Operation,B1,B1-01,汇集社媒、电商、POS、天气、节日、竞品和消费者信号,"Ingest social, commerce, POS, weather, festival, competitor and consumer signals.",General Mills,BP2,images/business_owner_placeholders/BP2.png
BP7,Sales / KA / Trade / Retail Execution,销售 / KA / 渠道 / 零售执行,Business Operation,B1,B1-02,接入零售商 sell-out、店头反馈、促销、库存与渠道信号,"Ingest retailer sell-out, store feedback, promotion, inventory and channel signals.",General Mills,BP7,images/business_owner_placeholders/BP7.png
BP4,Demand / Supply / Procurement Planning,需求 / 供应 / 采购计划,Business Operation,B2,B2-01,将节令、天气、促销和区域差异纳入需求预测,"Include seasonality, weather, promotion and regional differences in demand forecasting.",General Mills,BP4,images/business_owner_placeholders/BP4.png
BP2,Brand / Marketing / Finance Planning,品牌 / 市场 / 财务规划,Business Operation,B2,B2-02,模拟活动预算、品牌投资和渠道资源分配方案,"Simulate campaign budget, brand investment and channel resource options.",General Mills,BP2,images/business_owner_placeholders/BP2.png
BP9,Management / PMO / AI Team,管理层 / PMO / AI 团队,Business Operation,B2,B2-02,模拟活动预算、品牌投资和渠道资源分配方案,"Simulate campaign budget, brand investment and channel resource options.",General Mills,BP9,images/business_owner_placeholders/BP9.png
BP4,Demand / Supply / Procurement Planning,需求 / 供应 / 采购计划,Business Operation,B2,B2-03,联动需求、原料、采购、产能与生产计划,"Synchronize demand, materials, procurement, capacity and production planning.",General Mills,BP4,images/business_owner_placeholders/BP4.png
BP5,Manufacturing / Quality,制造 / 质量,Business Operation,B2,B2-03,联动需求、原料、采购、产能与生产计划,"Synchronize demand, materials, procurement, capacity and production planning.",General Mills,BP5,images/business_owner_placeholders/BP5.png
BP3,R&D / Product Innovation,研发 / 产品创新,Business Operation,B3,B3-01,进行新品、口味、包装和概念的 AI 消费者测试,"Run AI-enabled consumer testing for products, flavors, packaging and concepts.",General Mills,BP3,images/business_owner_placeholders/BP3.png
BP1,Consumer Insight / Market Intelligence,消费者洞察 / 市场情报,Business Operation,B3,B3-01,进行新品、口味、包装和概念的 AI 消费者测试,"Run AI-enabled consumer testing for products, flavors, packaging and concepts.",General Mills,BP1,images/business_owner_placeholders/BP1.png
BP2,Brand / Marketing / Finance Planning,品牌 / 市场 / 财务规划,Business Operation,B3,B3-02,比较活动、内容、受众、渠道和上市方案,"Compare campaign, content, audience, channel and launch options.",General Mills,BP2,images/business_owner_placeholders/BP2.png
BP7,Sales / KA / Trade / Retail Execution,销售 / KA / 渠道 / 零售执行,Business Operation,B3,B3-02,比较活动、内容、受众、渠道和上市方案,"Compare campaign, content, audience, channel and launch options.",General Mills,BP7,images/business_owner_placeholders/BP7.png
BP4,Demand / Supply / Procurement Planning,需求 / 供应 / 采购计划,Business Operation,B3,B3-03,优化 SKU × 区域 × 渠道的供应与库存分配,"Optimize supply and inventory allocation by SKU, region and channel.",General Mills,BP4,images/business_owner_placeholders/BP4.png
BP7,Sales / KA / Trade / Retail Execution,销售 / KA / 渠道 / 零售执行,Business Operation,B3,B3-03,优化 SKU × 区域 × 渠道的供应与库存分配,"Optimize supply and inventory allocation by SKU, region and channel.",General Mills,BP7,images/business_owner_placeholders/BP7.png
BP5,Manufacturing / Quality,制造 / 质量,Business Operation,B4,B4-01,用计算机视觉进行生产质量检测和异常识别,Use computer vision for quality inspection and anomaly detection.,General Mills,BP5,images/business_owner_placeholders/BP5.png
BP4,Demand / Supply / Procurement Planning,需求 / 供应 / 采购计划,Business Operation,B4,B4-02,根据需求、库存和节令变化生成补货与调拨建议,"Generate replenishment and transfer recommendations from demand, inventory and seasonality.",General Mills,BP4,images/business_owner_placeholders/BP4.png
BP6,Warehouse / Logistics / Customer Operations,仓储 / 物流 / 客户运营,Business Operation,B4,B4-02,根据需求、库存和节令变化生成补货与调拨建议,"Generate replenishment and transfer recommendations from demand, inventory and seasonality.",General Mills,BP6,images/business_owner_placeholders/BP6.png
BP7,Sales / KA / Trade / Retail Execution,销售 / KA / 渠道 / 零售执行,Business Operation,B4,B4-03,监测货架、冷柜、陈列、价格和促销执行并整改,"Monitor shelf, freezer, display, price and promotion execution and close the loop.",General Mills,BP7,images/business_owner_placeholders/BP7.png
BP7,Sales / KA / Trade / Retail Execution,销售 / KA / 渠道 / 零售执行,Business Operation,B5,B5-01,实时发现销量、转化、渠道或区域异常并触发行动,"Detect sales, conversion, channel or regional anomalies and trigger action.",General Mills,BP7,images/business_owner_placeholders/BP7.png
BP9,Management / PMO / AI Team,管理层 / PMO / AI 团队,Business Operation,B5,B5-01,实时发现销量、转化、渠道或区域异常并触发行动,"Detect sales, conversion, channel or regional anomalies and trigger action.",General Mills,BP9,images/business_owner_placeholders/BP9.png
BP6,Warehouse / Logistics / Customer Operations,仓储 / 物流 / 客户运营,Business Operation,B5,B5-02,监控订单、配送、冷链、缺货、取消和履约异常,"Monitor orders, delivery, cold chain, stock-outs, cancellations and fulfillment issues.",General Mills,BP6,images/business_owner_placeholders/BP6.png
BP4,Demand / Supply / Procurement Planning,需求 / 供应 / 采购计划,Business Operation,B5,B5-02,监控订单、配送、冷链、缺货、取消和履约异常,"Monitor orders, delivery, cold chain, stock-outs, cancellations and fulfillment issues.",General Mills,BP4,images/business_owner_placeholders/BP4.png
BP2,Brand / Marketing / Finance Planning,品牌 / 市场 / 财务规划,Business Operation,B6,B6-01,统一营销归因、活动 ROI、渠道投资和经营结果评审,"Align attribution, campaign ROI, channel investment and business result review.",General Mills,BP2,images/business_owner_placeholders/BP2.png
BP7,Sales / KA / Trade / Retail Execution,销售 / KA / 渠道 / 零售执行,Business Operation,B6,B6-01,统一营销归因、活动 ROI、渠道投资和经营结果评审,"Align attribution, campaign ROI, channel investment and business result review.",General Mills,BP7,images/business_owner_placeholders/BP7.png
BP9,Management / PMO / AI Team,管理层 / PMO / AI 团队,Business Operation,B6,B6-01,统一营销归因、活动 ROI、渠道投资和经营结果评审,"Align attribution, campaign ROI, channel investment and business result review.",General Mills,BP9,images/business_owner_placeholders/BP9.png
BP5,Manufacturing / Quality,制造 / 质量,Business Operation,B6,B6-02,评审质量、内容、法规、品牌和经营风险,"Review quality, content, regulatory, brand and operating risks.",General Mills,BP5,images/business_owner_placeholders/BP5.png
BP8,Legal / Compliance / Internal Control,法务 / 合规 / 内控,Business Operation,B6,B6-02,评审质量、内容、法规、品牌和经营风险,"Review quality, content, regulatory, brand and operating risks.",General Mills,BP8,images/business_owner_placeholders/BP8.png
BP4,Demand / Supply / Procurement Planning,需求 / 供应 / 采购计划,Business Operation,B6,B6-03,分析原料价格、采购成本、供应商与供应风险,"Analyze material price, procurement cost, supplier and supply risks.",General Mills,BP4,images/business_owner_placeholders/BP4.png
BP2,Brand / Marketing / Finance Planning,品牌 / 市场 / 财务规划,Business Operation,B6,B6-03,分析原料价格、采购成本、供应商与供应风险,"Analyze material price, procurement cost, supplier and supply risks.",General Mills,BP2,images/business_owner_placeholders/BP2.png
BP1,Consumer Insight / Market Intelligence,消费者洞察 / 市场情报,Business Operation,B7,B7-01,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan.",General Mills,BP1,images/business_owner_placeholders/BP1.png
BP2,Brand / Marketing / Finance Planning,品牌 / 市场 / 财务规划,Business Operation,B7,B7-01,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan.",General Mills,BP2,images/business_owner_placeholders/BP2.png
BP3,R&D / Product Innovation,研发 / 产品创新,Business Operation,B7,B7-01,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan.",General Mills,BP3,images/business_owner_placeholders/BP3.png
BP4,Demand / Supply / Procurement Planning,需求 / 供应 / 采购计划,Business Operation,B7,B7-01,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan.",General Mills,BP4,images/business_owner_placeholders/BP4.png
BP5,Manufacturing / Quality,制造 / 质量,Business Operation,B7,B7-01,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan.",General Mills,BP5,images/business_owner_placeholders/BP5.png
BP6,Warehouse / Logistics / Customer Operations,仓储 / 物流 / 客户运营,Business Operation,B7,B7-01,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan.",General Mills,BP6,images/business_owner_placeholders/BP6.png
BP7,Sales / KA / Trade / Retail Execution,销售 / KA / 渠道 / 零售执行,Business Operation,B7,B7-01,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan.",General Mills,BP7,images/business_owner_placeholders/BP7.png
BP8,Legal / Compliance / Internal Control,法务 / 合规 / 内控,Business Operation,B7,B7-01,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan.",General Mills,BP8,images/business_owner_placeholders/BP8.png
BP9,Management / PMO / AI Team,管理层 / PMO / AI 团队,Business Operation,B7,B7-01,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan.",General Mills,BP9,images/business_owner_placeholders/BP9.png
BP9,Management / PMO / AI Team,管理层 / PMO / AI 团队,Business Operation,B7,B7-02,从点状 PoC 转向跨品牌 AI 组合、平台复用与规模化治理,"Move from isolated PoCs to cross-brand AI portfolios, platform reuse and scaled governance.",General Mills,BP9,images/business_owner_placeholders/BP9.png
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,C1,C1-03,17:00 下班前后出现的家庭晚餐、快手餐或儿童餐需求,"Around 5 pm, family dinner, quick-meal or child-meal needs emerge.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,C2,C2-02,寻找快手晚餐、早餐、夜宵、儿童餐和节令菜单灵感,"Find quick dinner, breakfast, late-night, child-meal and seasonal menu inspiration.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M1,images/customer_personas/web_4x5/M1.webp
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,C3,C3-02,比较一人食、家庭装、儿童餐、节令装的份量、价格和适用方式,"Compare solo, family, child and seasonal packs by portion, price and usage.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,M1,images/customer_personas/web_4x5/M1.webp
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,C5,C5-02,水饺、馄饨、汤圆等煮、煎、蒸、空气炸锅的烹饪与食用体验,"Prepare and enjoy dumplings, wontons and tangyuan by boiling, frying, steaming or air-frying.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,M1,images/customer_personas/web_4x5/M1.webp
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,M1,images/customer_personas/web_4x5/M1.webp
M1,Family Meal Decision Maker,家庭餐桌决策者,Customer,C7,C7-02,围绕家庭消耗周期进行常备、补货、囤货、会员复购和推荐,"Replenish, stock up, repurchase and recommend around household consumption cycles.",Wanchai Ferry,M1,images/customer_personas/web_4x5/M1.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C1,C1-01,下班后、周末或压力时刻的哈根达斯自我犒赏需求,"After-work, weekend or stress moments trigger a Häagen-Dazs self-treat need.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C2,C2-01,探索口味、新品、限定、礼盒和家庭分享组合,"Explore flavors, new launches, limited editions, gift boxes and sharing combinations.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M2,images/customer_personas/web_4x5/M2.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C3,C3-01,比较礼盒、口味、规格、价格、场合适配与收礼对象偏好,"Compare gift boxes, flavors, sizes, price, occasion fit and recipient preference.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,M2,images/customer_personas/web_4x5/M2.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C5,C5-01,家庭甜品、约会、自我犒赏、开盒与第一口的 premium experience,"Experience self-treat, date, home dessert sharing, unboxing and the first bite.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,M2,images/customer_personas/web_4x5/M2.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,M2,images/customer_personas/web_4x5/M2.webp
M2,Urban Self-treat Consumer,都市自我犒赏型消费者,Customer,C7,C7-01,围绕下一个约会、节日、礼赠、聚会或自我犒赏进行场合型复购,"Repurchase around the next date, festival, gift, gathering or self-treat occasion.",Häagen-Dazs,M2,images/customer_personas/web_4x5/M2.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C1,C1-02,生日、节日、纪念日、约会或拜访带来的礼赠 / 仪式需求,"Birthdays, festivals, anniversaries, dates or visits trigger gifting and occasion needs.",Häagen-Dazs,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C1,C1-04,冬至、春节、元宵、寒潮、节气等造成的季节性需求波峰,Seasonal occasions and cold weather create demand peaks.,Both,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C2,C2-01,探索口味、新品、限定、礼盒和家庭分享组合,"Explore flavors, new launches, limited editions, gift boxes and sharing combinations.",Häagen-Dazs,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C2,C2-02,寻找快手晚餐、早餐、夜宵、儿童餐和节令菜单灵感,"Find quick dinner, breakfast, late-night, child-meal and seasonal menu inspiration.",Wanchai Ferry,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C3,C3-01,比较礼盒、口味、规格、价格、场合适配与收礼对象偏好,"Compare gift boxes, flavors, sizes, price, occasion fit and recipient preference.",Häagen-Dazs,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C3,C3-02,比较一人食、家庭装、儿童餐、节令装的份量、价格和适用方式,"Compare solo, family, child and seasonal packs by portion, price and usage.",Wanchai Ferry,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C5,C5-02,水饺、馄饨、汤圆等煮、煎、蒸、空气炸锅的烹饪与食用体验,"Prepare and enjoy dumplings, wontons and tangyuan by boiling, frying, steaming or air-frying.",Wanchai Ferry,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C7,C7-01,围绕下一个约会、节日、礼赠、聚会或自我犒赏进行场合型复购,"Repurchase around the next date, festival, gift, gathering or self-treat occasion.",Häagen-Dazs,M3,images/customer_personas/web_4x5/M3.webp
M3,Gifting & Seasonal Buyer,礼赠与节令购买者,Customer,C7,C7-02,围绕家庭消耗周期进行常备、补货、囤货、会员复购和推荐,"Replenish, stock up, repurchase and recommend around household consumption cycles.",Wanchai Ferry,M3,images/customer_personas/web_4x5/M3.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,C1,C1-03,17:00 下班前后出现的家庭晚餐、快手餐或儿童餐需求,"Around 5 pm, family dinner, quick-meal or child-meal needs emerge.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,C2,C2-02,寻找快手晚餐、早餐、夜宵、儿童餐和节令菜单灵感,"Find quick dinner, breakfast, late-night, child-meal and seasonal menu inspiration.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,C2,C2-03,通过社媒、电商、搜索、AI 搜索和门店陈列发现品牌与产品内容,"Discover products through social, commerce, search, AI search and retail content.",Both,M4,images/customer_personas/web_4x5/M4.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,C3,C3-02,比较一人食、家庭装、儿童餐、节令装的份量、价格和适用方式,"Compare solo, family, child and seasonal packs by portion, price and usage.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,C4,C4-01,通过 O2O、电商或小程序即时购买、支付并完成配送 / 自提,"Purchase, pay and receive via O2O, e-commerce, mini-program, delivery or pickup.",Both,M4,images/customer_personas/web_4x5/M4.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,C5,C5-02,水饺、馄饨、汤圆等煮、煎、蒸、空气炸锅的烹饪与食用体验,"Prepare and enjoy dumplings, wontons and tangyuan by boiling, frying, steaming or air-frying.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,C6,C6-01,通过社媒、电商评价、客服、投诉、门店反馈表达体验或寻求支持,"Express experience or seek support through reviews, service, complaints and store feedback.",Both,M4,images/customer_personas/web_4x5/M4.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,C6,C6-02,分享 UGC、甜品时刻、菜谱、烹饪方式和生活方式内容,"Share UGC, dessert moments, recipes, cooking methods and lifestyle content.",Both,M4,images/customer_personas/web_4x5/M4.webp
M4,Young Solo / Small Household,年轻独居与小家庭,Customer,C7,C7-02,围绕家庭消耗周期进行常备、补货、囤货、会员复购和推荐,"Replenish, stock up, repurchase and recommend around household consumption cycles.",Wanchai Ferry,M4,images/customer_personas/web_4x5/M4.webp
M5,Ingredient / Health-conscious Consumer,成分与健康关注者,Customer,C1,C1-01,下班后、周末或压力时刻的哈根达斯自我犒赏需求,"After-work, weekend or stress moments trigger a Häagen-Dazs self-treat need.",Häagen-Dazs,M5,images/customer_personas/web_4x5/M5.webp
